toLower(w),co
climatechange,10163
parisagreement,1902
actonclimate,1238
trump,979
globalwarming,712
parisaccord,621
climatechangeisreal,597
climate,567
environment,402
science,335
resist,262
climateaction,255
sustainability,222
worldenvironmentday,211
parisclimatedeal,197
renewableenergy,181
paris,180
auspol,179
china,177
parisclimateaccord,173
energy,170
earth,149
us,145
cleanenergy,139
stopadani,135
g7,130
maga,130
solar,129
renewables,127
usa,124
covfefe,116
arctic,115
parisclimateagreement,106
coal,103
innovation,99
california,99
india,96
donaldtrump,96
nature,95
co2,90
cop21,86
climatemarch,86
giveaway,80
epa,79
eu,76
greatbarrierreef,75
pollution,74
oceans,73
climatejustice,73
news,70
cdnpoli,70
theresistance,69
health,69
carbon,68
ocean,67
gop,66
ge2017,65
leadership,65
business,65
parisagreeement,64
water,64
potus,63
agriculture,62
canada,61
green,60
sealevelrise,60
sciencematters,59
trumprussia,59
weather,58
world,58
wearestillin,58
exxon,58
makeourplanetgreatagain,57
impeachtrump,57
macron,57
france,55
antarctica,55
africa,54
worldoceansday,54
drought,54
g7summit,53
cities,53
food,53
climatemayors,53
nato,53
saveourocean,52
popefrancis,51
environmental,50
oil,49
sustainable,49
resistance,48
fakenews,48
politics,47
obama,46
trumpclimate,45
sdgs,45
america,44
planet,44
jobs,44
exxonmobil,44
algore,44
fossilfuels,44
un,44
education,43
gogreen,43
climatehoax,43
parisaccords,42
steamdrills,42
technology,42
poverty,41
airpollution,41
future,41
keepitintheground,41
terrorism,41
climatescience,41
hoax,40
research,40
climatehope,40
tech,40
russia,39
sleep,39
cleantech,38
foodsecurity,38
conservation,38
americafirst,38
hawaii,38
pope,38
healthcare,37
eco,37
uk,36
cop23,36
vegan,36
fossilfuel,35
emissions,35
scientists,35
renewable,35
carbontax,35
australia,35
nyc,35
trade,34
flooding,34
snow,33
dup,33
coral,33
security,33
qldpol,32
forward,32
germany,32
merkel,31
climatechangehoax,31
facts,31
inequality,31
tcot,31
impinv,31
methane,31
greenland,31
nasa,31
